,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,prediction
53,34,technician,married,tertiary,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes,1.0
54,53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no,1.0
55,48,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no,0.0
56,57,management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no,0.0
57,33,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no,1.0
58,36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no,1.0
59,54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no,1.0
60,41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no,1.0
61,63,retired,married,secondary,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no,1.0
62,48,management,married,tertiary,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no,1.0
63,48,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no,0.0
64,56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no,1.0
65,51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no,0.0
66,31,services,married,secondary,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown,no,0.0
67,29,technician,married,secondary,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no,0.0
68,41,management,married,secondary,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no,1.0
69,32,technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no,0.0
70,37,management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes,1.0
71,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,1.0
72,31,management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no,1.0
73,41,services,married,tertiary,no,412,yes,no,unknown,3,jun,154,5,-1,0,unknown,no,0.0
74,56,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no,1.0
75,54,management,divorced,tertiary,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no,0.0
76,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,no,1.0
77,40,technician,single,secondary,no,591,no,yes,cellular,14,aug,87,6,-1,0,unknown,no,0.0
78,50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no,0.0
79,40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no,1.0
80,27,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes,1.0
81,60,retired,married,primary,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no,0.0
82,28,admin.,single,secondary,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no,1.0
83,52,services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes,1.0
84,37,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes,1.0
85,51,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no,1.0
86,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no,0.0
87,35,blue-collar,single,primary,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no,1.0
88,38,admin.,married,secondary,no,424,yes,no,cellular,17,apr,279,1,-1,0,unknown,no,1.0
89,34,blue-collar,married,secondary,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no,1.0
90,39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no,1.0
91,34,blue-collar,married,primary,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,no,1.0
92,27,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes,1.0
93,32,management,single,tertiary,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no,0.0
94,57,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,no,1.0
95,41,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no,1.0
96,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no,0.0
97,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no,1.0
98,36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,473,1,182,1,success,no,1.0
99,31,unemployed,single,primary,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes,0.0
100,36,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no,1.0
101,38,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no,1.0
102,49,technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no,1.0
103,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no,0.0
104,34,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no,0.0
105,32,management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no,1.0
106,37,blue-collar,married,secondary,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no,1.0
107,33,self-employed,married,tertiary,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no,0.0
108,56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes,1.0
109,27,housemaid,married,primary,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no,1.0
110,21,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes,1.0
111,58,management,married,tertiary,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no,0.0
112,32,self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no,1.0
113,33,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no,0.0
114,25,student,single,secondary,no,331,no,no,telephone,26,aug,170,4,-1,0,unknown,yes,0.0
115,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes,1.0
116,30,services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no,0.0
117,22,admin.,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no,1.0
118,39,blue-collar,married,primary,no,52,no,no,cellular,13,aug,69,1,-1,0,unknown,no,0.0
119,46,management,divorced,tertiary,no,25,no,no,unknown,17,jun,564,2,-1,0,unknown,no,1.0
120,31,admin.,divorced,secondary,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no,1.0
121,45,blue-collar,married,primary,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no,0.0
122,32,technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no,0.0
123,36,blue-collar,married,secondary,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,no,1.0
124,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no,1.0
125,34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes,1.0
126,24,unemployed,single,secondary,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no,0.0
127,45,technician,single,secondary,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no,0.0
128,32,blue-collar,single,secondary,no,228,no,no,telephone,5,feb,176,1,288,3,failure,no,0.0
129,77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes,1.0
130,41,blue-collar,married,primary,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no,1.0
131,37,blue-collar,married,primary,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no,0.0
132,43,blue-collar,married,unknown,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no,0.0
133,48,admin.,married,unknown,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no,0.0
134,27,technician,single,secondary,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no,1.0
135,33,management,single,tertiary,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no,0.0
136,29,admin.,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no,1.0
137,34,management,single,tertiary,no,0,no,no,cellular,5,feb,71,1,-1,0,unknown,no,0.0
138,52,management,married,tertiary,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,yes,0.0
139,60,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no,0.0
140,32,management,divorced,tertiary,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no,1.0
141,32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown,no,1.0
142,56,services,divorced,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no,1.0
143,31,management,single,tertiary,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no,1.0
144,42,admin.,married,secondary,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no,1.0
145,35,management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no,1.0
146,56,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no,0.0
147,48,technician,married,secondary,no,1152,yes,no,cellular,21,jul,168,5,-1,0,unknown,no,1.0
148,46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no,0.0
149,37,technician,single,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no,1.0
150,41,entrepreneur,married,unknown,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no,1.0
151,36,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no,0.0
152,45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no,0.0
153,55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no,0.0
154,39,technician,married,secondary,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no,1.0
155,35,technician,divorced,secondary,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no,0.0
156,55,admin.,married,secondary,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes,1.0
157,55,technician,married,secondary,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no,0.0
158,27,self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no,0.0
159,34,technician,married,secondary,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no,1.0
160,78,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no,0.0
161,45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29,jan,549,2,-1,0,unknown,no,0.0
162,48,technician,married,tertiary,no,310,no,no,unknown,6,may,135,1,-1,0,unknown,no,1.0
163,32,blue-collar,single,secondary,no,1143,yes,yes,cellular,10,jul,412,1,-1,0,unknown,no,1.0
164,42,technician,married,secondary,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,no,0.0
165,37,management,single,tertiary,no,37,no,no,cellular,28,jan,253,2,-1,0,unknown,no,0.0
166,40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no,1.0
167,32,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no,1.0
168,42,management,married,tertiary,no,9009,no,no,cellular,20,nov,135,2,-1,0,unknown,no,0.0
169,43,admin.,married,secondary,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no,0.0
170,44,admin.,married,secondary,no,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no,0.0
171,37,admin.,married,secondary,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no,1.0
172,37,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no,0.0
173,37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no,0.0
174,28,technician,single,tertiary,no,172,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no,0.0
175,32,services,single,secondary,no,0,no,yes,cellular,11,jul,333,2,-1,0,unknown,no,1.0
176,34,admin.,single,secondary,no,6979,yes,no,cellular,15,may,14,5,-1,0,unknown,no,0.0
177,40,admin.,divorced,secondary,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no,0.0
178,34,services,married,secondary,no,-62,yes,no,unknown,16,jun,109,3,-1,0,unknown,no,0.0
179,34,self-employed,married,tertiary,no,1972,yes,no,cellular,23,jul,61,2,-1,0,unknown,no,0.0
180,34,admin.,married,tertiary,no,899,yes,no,telephone,19,nov,377,3,7,4,success,no,0.0
181,37,services,single,secondary,no,21,yes,no,cellular,2,feb,96,1,271,2,other,no,0.0
182,36,technician,married,secondary,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no,0.0
183,56,retired,married,secondary,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes,1.0
184,49,blue-collar,married,primary,no,0,yes,yes,telephone,23,jul,97,6,-1,0,unknown,no,0.0
185,33,self-employed,married,secondary,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no,1.0
186,30,management,single,tertiary,no,1372,no,no,cellular,20,nov,240,2,-1,0,unknown,no,0.0
187,36,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no,0.0
188,23,student,single,secondary,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no,1.0
189,57,retired,divorced,secondary,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,no,1.0
190,27,blue-collar,single,secondary,no,5563,yes,no,unknown,30,may,435,2,-1,0,unknown,no,1.0
191,38,services,married,secondary,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,no,0.0
192,42,technician,married,tertiary,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no,0.0
193,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes,1.0
194,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success,no,1.0
195,42,technician,single,secondary,no,275,no,no,cellular,26,aug,31,8,-1,0,unknown,no,0.0
196,30,management,married,tertiary,no,1221,yes,no,telephone,25,jul,279,4,-1,0,unknown,yes,1.0
197,62,retired,married,secondary,no,816,no,no,cellular,1,sep,28,2,-1,0,unknown,no,0.0
198,24,blue-collar,married,secondary,no,1222,yes,no,cellular,20,apr,369,1,-1,0,unknown,no,1.0
199,31,technician,married,secondary,no,2363,yes,no,unknown,13,may,247,1,-1,0,unknown,no,1.0
200,66,retired,married,tertiary,no,2262,no,no,cellular,22,apr,155,1,-1,0,unknown,no,1.0
201,47,admin.,married,secondary,no,2,no,no,cellular,10,jul,89,1,-1,0,unknown,no,1.0
202,39,entrepreneur,married,tertiary,no,2,yes,no,cellular,17,nov,180,1,-1,0,unknown,no,1.0
203,35,technician,married,secondary,no,4508,yes,no,cellular,18,nov,854,1,-1,0,unknown,yes,1.0
204,35,admin.,divorced,secondary,no,-402,yes,no,cellular,17,apr,46,1,-1,0,unknown,no,0.0
205,27,technician,married,secondary,no,1577,yes,yes,unknown,28,may,266,2,-1,0,unknown,no,1.0
206,32,blue-collar,married,secondary,no,34,yes,no,cellular,5,may,321,2,-1,0,unknown,no,1.0
207,44,management,married,tertiary,no,795,no,no,cellular,28,aug,99,24,-1,0,unknown,no,0.0
208,42,blue-collar,married,secondary,no,117,yes,no,unknown,9,may,147,1,-1,0,unknown,no,0.0
209,34,self-employed,single,tertiary,no,5462,no,no,cellular,30,apr,430,1,-1,0,unknown,yes,1.0
210,25,services,single,secondary,no,402,no,yes,cellular,7,jul,264,1,-1,0,unknown,no,1.0
211,40,technician,single,secondary,no,641,no,no,cellular,16,jul,156,6,-1,0,unknown,no,1.0
212,43,management,divorced,tertiary,no,36,no,no,cellular,26,may,118,1,102,2,failure,no,0.0
213,55,unemployed,married,tertiary,no,383,no,no,unknown,6,may,343,3,-1,0,unknown,no,1.0
214,50,blue-collar,married,secondary,no,283,yes,no,cellular,7,aug,226,3,-1,0,unknown,no,1.0
215,45,management,divorced,tertiary,no,0,no,no,unknown,1,jun,5,1,-1,0,unknown,no,0.0
216,35,blue-collar,divorced,secondary,no,3102,yes,no,cellular,20,nov,138,1,-1,0,unknown,no,0.0
217,32,blue-collar,married,secondary,no,889,yes,no,cellular,10,sep,185,1,99,5,success,yes,1.0
218,59,housemaid,married,secondary,no,0,no,no,telephone,3,feb,722,1,99,4,failure,no,1.0
219,34,self-employed,married,secondary,no,-370,yes,no,unknown,21,may,748,1,-1,0,unknown,no,1.0
220,39,management,married,tertiary,no,-606,yes,no,unknown,26,may,142,1,-1,0,unknown,no,0.0
221,40,management,single,secondary,no,10378,yes,no,cellular,17,nov,523,3,-1,0,unknown,no,1.0
222,36,blue-collar,single,primary,no,1313,yes,no,unknown,20,jun,8,10,-1,0,unknown,no,1.0
223,40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153,1,-1,0,unknown,no,0.0
224,55,self-employed,married,secondary,no,-196,yes,no,unknown,20,may,210,2,-1,0,unknown,no,0.0
225,38,entrepreneur,married,secondary,yes,15,yes,no,cellular,10,jul,121,1,-1,0,unknown,no,0.0
226,61,admin.,married,secondary,no,4608,no,no,cellular,12,mar,212,1,-1,0,unknown,yes,1.0
227,41,management,married,tertiary,no,666,yes,no,unknown,21,may,253,3,-1,0,unknown,no,0.0
228,57,blue-collar,married,primary,no,452,yes,no,unknown,13,may,139,4,-1,0,unknown,no,1.0
229,48,blue-collar,married,secondary,no,149,yes,no,unknown,9,may,71,1,-1,0,unknown,no,0.0
230,77,retired,married,tertiary,no,7802,no,no,telephone,4,may,421,1,92,2,success,yes,1.0
231,35,services,married,secondary,no,1453,yes,no,unknown,28,may,199,1,-1,0,unknown,no,1.0
232,54,blue-collar,married,secondary,no,1480,yes,no,unknown,14,may,108,1,-1,0,unknown,no,1.0
233,37,management,single,unknown,no,715,yes,no,unknown,20,may,247,2,-1,0,unknown,no,0.0
234,56,management,single,secondary,no,237,yes,no,telephone,9,jul,236,4,-1,0,unknown,no,1.0
235,40,technician,married,secondary,no,694,yes,no,cellular,4,feb,97,4,196,5,failure,no,0.0
236,40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown,no,0.0
237,54,management,married,tertiary,no,55,yes,no,cellular,2,jun,112,2,-1,0,unknown,no,0.0
238,55,housemaid,married,primary,no,136,yes,no,unknown,19,jun,15,10,-1,0,unknown,no,0.0
239,55,services,divorced,secondary,yes,-404,yes,no,cellular,22,jul,502,3,-1,0,unknown,no,1.0
240,52,blue-collar,married,primary,no,779,yes,no,unknown,16,may,30,3,-1,0,unknown,no,1.0
241,55,blue-collar,single,primary,no,1187,yes,no,unknown,2,jun,193,2,-1,0,unknown,no,1.0
242,33,management,married,tertiary,no,641,yes,no,cellular,13,aug,347,2,-1,0,unknown,no,1.0
243,52,blue-collar,married,unknown,no,826,yes,no,unknown,15,may,468,2,-1,0,unknown,no,1.0
244,33,services,divorced,secondary,no,991,yes,no,unknown,27,may,148,1,-1,0,unknown,no,1.0
245,53,admin.,married,secondary,no,1796,no,no,telephone,16,mar,295,1,91,2,success,yes,1.0
246,46,admin.,married,secondary,no,22,no,no,cellular,26,aug,388,6,-1,0,unknown,yes,1.0
247,44,technician,single,secondary,no,244,yes,no,cellular,12,aug,1735,4,-1,0,unknown,yes,1.0
248,48,management,divorced,tertiary,no,1328,yes,no,unknown,6,may,339,1,-1,0,unknown,no,1.0
249,50,housemaid,married,secondary,no,7317,yes,no,cellular,13,may,172,1,370,1,failure,no,1.0
250,34,technician,single,secondary,no,4943,yes,yes,cellular,19,nov,117,2,-1,0,unknown,no,1.0
251,38,technician,single,secondary,no,258,no,yes,unknown,20,jun,587,2,-1,0,unknown,no,1.0
252,42,management,single,tertiary,no,515,yes,no,cellular,19,nov,501,2,-1,0,unknown,no,0.0
253,32,management,single,tertiary,no,12607,no,no,cellular,14,aug,203,5,84,1,failure,no,1.0
254,58,admin.,married,secondary,no,2,yes,yes,telephone,25,jul,282,9,-1,0,unknown,no,0.0
255,31,management,married,tertiary,no,13,no,no,cellular,28,aug,110,5,-1,0,unknown,no,0.0
256,19,student,single,primary,no,103,no,no,cellular,10,jul,104,2,-1,0,unknown,yes,0.0
257,41,management,married,tertiary,no,3872,no,no,cellular,15,oct,231,1,-1,0,unknown,no,1.0
258,31,unemployed,married,secondary,no,296,yes,no,unknown,20,may,378,3,-1,0,unknown,no,1.0
259,52,self-employed,single,primary,no,217,no,yes,cellular,15,jul,193,6,-1,0,unknown,no,1.0
260,42,self-employed,divorced,tertiary,no,360,yes,no,unknown,24,jun,110,5,-1,0,unknown,no,0.0
261,41,self-employed,married,tertiary,no,231,no,no,cellular,7,aug,352,2,-1,0,unknown,yes,1.0
262,39,technician,married,tertiary,no,1161,yes,no,cellular,9,apr,236,1,336,1,failure,no,1.0
263,31,blue-collar,married,secondary,no,-45,yes,no,unknown,2,jun,184,1,-1,0,unknown,no,0.0
264,28,management,single,tertiary,no,231,yes,yes,cellular,25,jul,568,2,-1,0,unknown,no,1.0
265,31,management,single,secondary,no,36,no,no,cellular,27,aug,105,2,-1,0,unknown,no,0.0
266,30,technician,married,tertiary,no,1570,yes,no,cellular,26,may,260,1,-1,0,unknown,no,1.0
267,35,technician,married,tertiary,no,7050,no,no,cellular,11,aug,222,3,182,4,success,yes,1.0
268,33,blue-collar,married,primary,no,3704,yes,no,unknown,6,jun,447,2,-1,0,unknown,no,1.0
269,30,technician,single,tertiary,no,6619,yes,no,cellular,21,aug,239,8,-1,0,unknown,no,1.0
270,32,blue-collar,single,secondary,no,-84,yes,no,cellular,11,may,426,1,-1,0,unknown,no,1.0
271,40,management,single,tertiary,no,1509,no,no,cellular,12,may,333,1,58,3,failure,no,1.0
272,31,self-employed,married,tertiary,no,1134,no,no,cellular,6,feb,174,2,-1,0,unknown,no,0.0
